Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCBA SMT Assembly","SMT assembly of all SMD components",2,41.63,"","JLCPCB"
"C10,C11,C5,C8,C3,C2,C7,C6,C4,C17,C1,C20,C18","0.1uF (100nF) 16V X7R ±10% 0402 MLCC",75,0.58,"https://lcsc.com/product-detail/C1525.html","JLCPCB"
"C13,C14","10uF 25V X5R ±10% 0805 MLCC",20,4.38,"https://lcsc.com/product-detail/C15850.html","JLCPCB"
"C16,C15","33pF 50V C0G ±5% 0402 MLCC",20,0.12,"https://lcsc.com/product-detail/C1562.html","JLCPCB"
"C19","10nF 50V X7R ±10% 0402 MLCC",20,0.17,"https://lcsc.com/product-detail/C15195.html","JLCPCB"
"C21","2.2uF 6.3V X5R ±20% 0402 MLCC",20,0.17,"https://lcsc.com/product-detail/C12530.html","JLCPCB"
"D3,D1,D2","Red Water Clear 0603 LED Indication",25,0.18,"https://lcsc.com/product-detail/C2286.html","JLCPCB"
"J1","USB Type-C Receptacle 16P Female SMD R/A",5,0.92,"https://lcsc.com/product-detail/C165948.html","JLCPCB"
"R2,R1","5.1kΩ 50V 62.5mW Thick Film Resistor ±1% 0402",20,0.02,"https://lcsc.com/product-detail/C25905.html","JLCPCB"
"R4,R3","30Ω 50V 62.5mW Thick Film Resistor ±5% 0402",20,0.02,"https://lcsc.com/product-detail/C137883.html","JLCPCB"
"C9,C12","1uF 10V X5R ±10% 0402 MLCC",20,0.12,"https://lcsc.com/product-detail/C14445.html","JLCPCB"
"R6","10kΩ 50V 62.5mW Thick Film Resistor ±1% 0402",20,0.06,"https://lcsc.com/product-detail/C25744.html","JLCPCB"
"R10,R9,R8","470Ω 50V 62.5mW Thick Film Resistor ±1% 0402",25,0.03,"https://lcsc.com/product-detail/C25117.html","JLCPCB"
"SW1","Tactile Switches 12V 50mA Black Button SMD SPST",9,0.49,"https://lcsc.com/product-detail/C720477.html","JLCPCB"
"U1","RP2040 Microcontroller (MCU) 133MHz LQFN-56",5,4.90,"https://lcsc.com/product-detail/C2040.html","JLCPCB"
"U2","MCP1700T-3302E/TT Fixed 3.3V 250mA Linear LDO",5,2.16,"https://lcsc.com/product-detail/C39051.html","JLCPCB"
"U3","W25Q16JVUXIQ 16Mbit 133MHz SPI NOR FLASH USON-8",5,7.87,"https://lcsc.com/product-detail/C2843335.html","JLCPCB"
"U4","ICM-20608-G 6-Axis IMU Accel + Gyro LGA-16",2,26.33,"https://lcsc.com/product-detail/C78569.html","JLCPCB"
"Y1","12MHz 20pF Crystal Oscillator SMD3225-4P",7,0.70,"https://lcsc.com/product-detail/C9002.html","JLCPCB"
"PCB Fabrication (Node_Zero)","2-layer PCB — the board itself",5,2.00,"","JLCPCB"
"R5,R7","1kΩ 50V 62.5mW Thick Film Resistor ±1% 0402",20,0.08,"https://lcsc.com/product-detail/C11702.html","JLCPCB"